
==============================================================================
SUMMARY — every coordinate tested, its source, and what ablation says
==============================================================================

### huggyllama/llama-7b
    revision: 4782ad278652c7c71b72204d462d6d01eaaf7549   baseline ppl: 5.39
    coordinate           source             weight   ppl x      KL  verdict
    L31[1566,2587]       found             -0.0392    x1.0   0.000  no effect
    L31[150,7473]        found              0.1144    x1.0   0.000  no effect
    L31[150,8030]        found              0.0475    x1.0   0.000  no effect
    L31[150,4357]        found              0.1656    x1.0   0.000  no effect
    L31[150,5876]        found             -0.0434    x1.0   0.000  no effect
    L31[1659,1568]       found             -0.1600    x1.0   0.000  no effect
    L31[1659,118]        found              0.1626    x1.0   0.000  no effect
    L31[1659,3417]       found             -0.1192    x1.0   0.000  no effect
    L31[1659,8541]       found             -0.0491    x1.0   0.000  no effect
    L31[3840,1410]       found              0.1938    x1.0   0.000  no effect
    L31[3840,6958]       found              0.1578    x1.0   0.000  no effect
    L31[3840,6462]       found              0.2374    x1.0   0.000  no effect
    L31[3840,3563]       found             -0.3679    x1.0   0.000  no effect
    L31[1566,8030]       found             -0.0332    x1.0   0.000  no effect
    L31[1566,5543]       found             -0.0360    x1.0   0.000  no effect
    L31[1566,8809]       found             -0.1131    x1.0   0.000  no effect
    L31[1566,3563]       found             -0.1035    x1.0   0.000  no effect
    L31[1659,6049]       found             -0.0390    x1.0   0.000  no effect
    L31[1659,5777]       found             -0.1097    x1.0   0.000  no effect
    L31[1659,7899]       found             -0.1052    x1.0   0.000  no effect
    L31[1659,9434]       found              0.0716    x1.0   0.000  no effect
    L31[150,3959]        found              0.0676    x1.0   0.000  no effect
    L31[150,8494]        found              0.0533    x1.0   0.000  no effect
    L31[150,10066]       found              0.1779    x1.0   0.000  no effect
    L31[150,7742]        found             -0.0305    x1.0   0.000  no effect
    L31[3840,1396]       found              0.5381    x1.0   0.000  no effect
    L31[3840,615]        found             -0.5684    x1.0   0.000  no effect
    L31[3840,1430]       found             -0.7559    x1.0   0.000  no effect
    L31[3840,327]        found              0.2786    x1.0   0.000  no effect
    L31[1566,737]        found             -0.0305    x1.0   0.000  no effect
    L31[1566,3270]       found             -0.0748    x1.0   0.000  no effect
    L31[1566,327]        found              0.0832    x1.0   0.000  no effect
    L31[1566,2739]       found              0.0608    x1.0   0.000  no effect
    L31[1659,5876]       found              0.0876    x1.0   0.000  no effect
    L31[1659,8580]       found             -0.0649    x1.0   0.000  no effect
    L31[1659,7946]       found             -0.1201    x1.0   0.000  no effect
    L31[1659,8731]       found              0.0504    x1.0   0.000  no effect
    L31[2487,2132]       found              0.1013    x1.0   0.000  no effect
    L31[2487,6462]       found              0.0811    x1.0   0.000  no effect
    L31[2487,6737]       found             -0.1235    x1.0   0.000  no effect
    L31[2487,3956]       found              0.1108    x1.0   0.000  no effect
    => real super weights: L2[3968,7003]
    => Table 2 for this model: 1 of 1 confirmed by ablation

### huggyllama/llama-13b
    revision: bf57045473f207bb1de1ed035ace226f4d9f9bba   baseline ppl: 5.11
    coordinate           source             weight   ppl x      KL  verdict
    L2[2231,2278]        found + table2    -1.8223    x1.3   0.061  no effect
    L2[2231,6939]        found + table2     1.8066    x1.3   0.009  no effect
    L2[2202,2278]        found             -0.2284    x1.1   0.002  no effect
    L2[2202,6939]        found              0.2170    x1.0   0.001  no effect
    L2[4936,2278]        found             -0.1166    x1.1   0.005  no effect
    L2[4936,6939]        found              0.0597    x1.0   0.001  no effect
    L2[112,2278]         found             -0.0698    x1.0   0.001  no effect
    L2[112,6939]         found              0.0823    x1.0   0.000  no effect
    L37[2231,445]        found             -1.8945    x1.0   0.000  no effect
    L37[2231,328]        found              1.4248    x1.0   0.000  no effect
    L37[2231,4226]       found              1.7422    x1.0   0.000  no effect
    L37[2231,10880]      found             -1.4814    x1.0   0.000  no effect
    L37[2202,328]        found              0.2411    x1.0   0.000  no effect
    L37[2202,445]        found             -0.2052    x1.0   0.000  no effect
    L37[2202,13705]      found              0.2842    x1.0   0.000  no effect
    L37[2202,4226]       found              0.2325    x1.0   0.000  no effect
    L37[4011,328]        found             -0.1083    x1.0   0.000  no effect
    L37[4011,10880]      found              0.0979    x1.0   0.000  no effect
    L37[4011,13705]      found             -0.0828    x1.0   0.000  no effect
    L37[4011,11140]      found              0.0764    x1.0   0.000  no effect
    L37[3389,328]        found             -0.1163    x1.0   0.000  no effect
    L37[3389,10880]      found              0.0872    x1.0   0.000  no effect
    L37[3389,13705]      found             -0.0925    x1.0   0.000  no effect
    L37[3389,11140]      found              0.0979    x1.0   0.000  no effect
    L35[2231,733]        found              1.3965    x1.0   0.000  no effect
    L35[2231,6108]       found             -1.3486    x1.0   0.000  no effect
    L35[2231,8750]       found             -1.2334    x1.0   0.000  no effect
    L35[2231,4592]       found              1.2598    x1.0   0.000  no effect
    L35[2202,733]        found              0.2632    x1.0   0.000  no effect
    L35[2202,6108]       found             -0.2352    x1.0   0.000  no effect
    L35[2202,8750]       found             -0.2566    x1.0   0.000  no effect
    L35[2202,4592]       found              0.2571    x1.0   0.000  no effect
    L35[4936,733]        found              0.1486    x1.0   0.000  no effect
    L35[4936,6108]       found             -0.1577    x1.0   0.000  no effect
    L35[4936,4592]       found              0.1318    x1.0   0.000  no effect
    L35[4936,8750]       found             -0.1099    x1.0   0.000  no effect
    L35[3389,733]        found             -0.0596    x1.0   0.000  no effect
    L35[3389,6108]       found              0.0514    x1.0   0.000  no effect
    L35[3389,4592]       found             -0.0923    x1.0   0.000  no effect
    L35[3389,8750]       found              0.0839    x1.0   0.000  no effect
    L6[2231,10223]       found             -1.2627    x1.2   0.001  no effect
    L6[2231,3526]        found              1.0391    x1.0   0.000  no effect
    L6[2231,2006]        found             -0.9258    x1.0   0.000  no effect
    L6[2231,13710]       found             -1.1299    x1.0   0.000  no effect
    L6[3389,10223]       found              0.8286    x1.2   0.001  no effect
    L6[3389,3526]        found             -0.4573    x1.0   0.000  no effect
    L6[3389,13710]       found              0.7148    x1.0   0.000  no effect
    L6[4011,10223]       found              0.5010    x1.2   0.001  no effect
    L6[4011,2006]        found              0.4902    x1.0   0.000  no effect
    L6[4011,3526]        found             -0.4924    x1.0   0.000  no effect
    L6[2202,2006]        found              0.5322    x1.0   0.000  no effect
    L6[2202,10223]       found             -0.0823    x1.0   0.000  no effect
    L6[2202,3526]        found             -0.1909    x1.0   0.000  no effect
    L6[2202,6802]        found              0.3140    x1.0   0.000  no effect
    L39[2202,8082]       found              2.2812    x1.0   0.000  no effect
    L39[2202,8032]       found              0.6113    x1.0   0.000  no effect
    L39[2202,12241]      found             -0.5991    x1.0   0.000  no effect
    L39[2202,779]        found             -0.8135    x1.0   0.000  no effect
    L39[3275,4970]       found              0.4436    x1.0   0.000  no effect
    L39[3275,12241]      found             -0.3237    x1.0   0.000  no effect
    L39[3275,8032]       found              0.2130    x1.0   0.001  no effect
    L39[3275,13336]      found              0.5151    x1.0   0.000  no effect
    L39[185,12241]       found             -0.2236    x1.0   0.000  no effect
    L39[185,8032]        found              0.1512    x1.0   0.000  no effect
    L39[185,13336]       found              0.3071    x1.0   0.000  no effect
    L39[185,4970]        found              0.1772    x1.0   0.000  no effect
    L39[867,8032]        found             -0.1680    x1.0   0.006  no effect
    L39[867,779]         found             -0.2034    x1.0   0.001  no effect
    L39[867,8459]        found              0.1564    x1.0   0.000  no effect
    L39[867,8049]        found             -0.2119    x1.0   0.001  no effect
    L36[2231,1617]       found              1.2852    x1.0   0.000  no effect
    L36[2231,12148]      found              1.2012    x1.0   0.000  no effect
    L36[2231,5703]       found             -1.1885    x1.0   0.000  no effect
    L36[2231,9181]       found              1.1709    x1.0   0.000  no effect
